V1,FSC.A,FSC.PMT.A,SSC.A,BB515.CD117,PerCPCy5.5.CD16.32,Comp.FSC.PMT.A,PE.CD115,PECF594.CD135,Comp.GYG.670.A,PECy5.5.CD3e,PECy7.CD80,DL800.SA.Bio.Ly6G,Comp.LG.562.A,Comp.O.610.A,APC.BrdU,AF700.CD45,APCCy7.CD48,BUV395.CD11b,LiveDead.Blue,BUV615.Siglec.F,BUV661.NK1.1,BUV737.B220,BUV805.CD8a,BV421.CD34,V500.MHCII,BV570.CD4,BV605.Ly6C,BV650.CD150,BV711.SCA.1,Comp.V.750.A,BV785.CD11c,FileName,FileNo,Sample,Group,Batch,FlowSOM_cluster,FlowSOM_metacluster,UMAP_42_X,UMAP_42_Y
646860,438,601,164,329,489,0,175,372,150,255,243,370,232,227,396,647,496,316,415,401,208,775,145,309,381,617,749,156,677,210,269,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,17,7,-0.488792861010213,6.31997946090697
82839,479,602,93,309,564,428,214,314,196,231,442,561,221,236,318,598,204,583,263,347,220,252,253,283,271,285,548,312,461,217,155,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,26,1,-4.44519182467694,-3.0009186539306
610975,271,550,128,265,542,338,292,163,221,228,237,574,239,221,325,583,214,623,412,361,216,260,214,271,244,164,636,187,473,231,230,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,22,1,-4.90998411255022,-5.43452914304328
761193,287,542,98,357,495,465,232,160,199,239,283,510,228,232,285,551,233,664,370,369,260,277,213,251,263,404,604,231,465,228,189,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,42,1,-3.15141717755929,-4.19592014750987
757937,567,637,84,302,592,270,242,260,187,238,395,287,230,232,350,428,292,301,283,337,182,875,227,361,588,205,237,420,292,231,272,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,29,5,-2.42172854880179,8.68370040239576
757317,260,548,137,290,633,0,474,213,126,154,385,267,244,229,466,599,427,412,335,391,177,366,233,285,266,345,735,283,289,247,258,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,96,34,6.14190377281354,-1.39513676634212
198720,202,508,112,326,538,0,249,281,220,255,437,525,234,222,249,637,382,672,289,354,286,317,225,264,480,397,602,300,573,215,195,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,5,1,-3.97446601863204,-5.06591125083006
746307,246,523,120,265,441,0,176,281,207,315,225,234,234,228,394,697,488,367,403,359,209,762,359,149,385,678,759,285,747,145,466,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,7,3,-0.410342401290913,6.19195934532267
176464,377,575,154,263,582,0,268,141,181,210,229,273,256,229,446,585,459,289,383,360,221,319,218,352,328,277,326,248,432,237,206,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,69,16,4.72119128592413,2.14843141884621
160491,170,455,109,280,278,184,132,210,50,522,57,315,238,231,724,772,532,66,400,349,892,371,189,160,251,423,704,548,626,215,183,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,100,36,5.28950137841988,4.43528458090751
586891,298,558,169,296,478,0,221,318,225,266,281,365,223,234,322,586,489,481,394,339,237,224,241,314,296,325,227,329,543,228,102,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,69,16,4.67372841456769,2.20961243943967
663108,222,491,67,260,510,0,209,293,219,232,327,292,250,230,267,508,392,173,304,337,246,743,245,338,354,329,226,246,380,230,207,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,50,10,-0.665608259721664,8.66207679249301
318979,374,595,120,274,560,163,251,222,194,211,315,337,236,234,291,510,306,597,349,359,220,341,205,318,254,335,559,316,427,211,248,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,54,1,-2.23440347522312,-2.70105101127358
460763,296,559,163,504,496,392,246,217,235,265,364,263,234,228,292,490,306,736,384,367,239,318,332,265,273,324,588,257,473,230,148,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,63,1,-0.238524579742432,-3.58554325034848
252646,266,554,161,253,587,0,246,300,188,201,213,482,228,221,301,651,294,788,352,376,199,394,226,275,238,338,523,343,356,204,189,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,2,1,-3.96831459412718,-3.68266101676473
472830,275,548,112,244,534,418,234,298,192,235,296,498,240,238,279,636,181,665,361,324,270,320,237,335,241,348,681,249,371,233,267,Bone marrow_Mock 1_037_CD45+n=1e4,1,01_Mock_01,Mock,1,13,1,-4.41134607318706,-4.48068214209012
